Episode_Reward,Episode_Return,Success
150.05929196728883,72.04522932047732,0
100.4465683250638,61.75410626776533,0
113.86492223277047,78.60824063719042,0
178.64562395140206,31.389959291494957,0
-99.23250390294066,-26.918585929654533,0
96.95444493294059,38.71829550731085,0
-31.431015040074854,-8.693001947505007,0
103.14503956188733,56.3781839938501,0
54.98544634825394,32.309975812272704,0
125.03135349101288,38.6752932760247,0
111.52808702654902,43.700899753701364,0
111.55863896522982,41.119049249310976,0
68.32722798603015,46.9783778277882,0
122.7458298164204,47.61018818108133,0
-152.54185188133286,34.1073943975914,0
84.99623807565526,72.1013549858702,0
132.1690542760431,50.35825472962604,0
123.0921074220293,48.47966851599252,0
157.87105200767277,32.25886172597517,0
106.08152102095663,25.42255374729975,0
15.214528962795933,27.831228877918953,0
138.0843910857606,63.995152392107656,0
-5.387637981476374,11.557685496852802,0
103.73666975085321,49.24757523242065,0
109.2228738413827,52.91682703262265,0
